"total_revenue","day","month","time","con_time","category","price","mean_temp","seemean","precipitation","cold_sc","flu_sc","pneumonia_sc","coronavirus_sc","sell_sequence","rank_seq_mean","rank_brand","brand","code_name"
14276000,"1"," 4"," 1",0.056,"2",39.9,8.9,0.001,1.642,0.127,0.41,0.163,0.006,1,1,446,"100779","202276"
20944000,"1"," 4"," 1",0.069,"2",39.9,8.9,0.1563,1.642,0.127,0.41,0.163,0.006,2,3,446,"100779","202276"
8451000,"2"," 4"," 1",0.042,"6",1549,10.5,0.001,0,0.165,0.76,0.248,0.009,3,6,491,"100155","200488"
3856000,"2"," 4"," 1",0.042,"6",1409,10.5,0.001,0,0.165,0.76,0.248,0.009,3,6,491,"100155","200555"
7436000,"2"," 4"," 1",0.056,"5",69.9,10.5,0.0857,0,0.165,0.76,0.248,0.009,1,1,148,"100362","201149"
6599000,"2"," 4"," 1",0.069,"5",69.9,10.5,0.001,0,0.165,0.76,0.248,0.009,2,3,148,"100362","201149"
6895000,"3"," 4"," 1",0.042,"7",61.8,14,0.001,0,0.148,0.669,0.219,0.01,1,1,159,"100025","200037"
10795000,"3"," 4"," 1",0.056,"7",61.8,14,0.001,0,0.148,0.669,0.219,0.01,2,3,159,"100025","200037"
15941000,"3"," 4"," 1",0.069,"7",61.8,14,0.001,0,0.148,0.669,0.219,0.01,3,6,159,"100025","200037"
1535000,"4"," 4"," 1",0.042,"9",129,14.9,0.001,0,0.141,0.623,0.203,0.01,1,1,248,"100293","200948"
1494000,"4"," 4"," 1",0.056,"9",129,14.9,0.001,0,0.141,0.623,0.203,0.01,2,3,248,"100293","200948"
1903000,"4"," 4"," 1",0.069,"9",129,14.9,0.001,0,0.141,0.623,0.203,0.01,3,6,248,"100293","200948"
2100000,"4"," 4"," 1",0.042,"9",119,14.9,0.001,0,0.141,0.623,0.203,0.01,1,1,248,"100293","200951"
5738000,"4"," 4"," 1",0.056,"9",119,14.9,0.001,0,0.141,0.623,0.203,0.01,2,3,248,"100293","200951"
9103000,"4"," 4"," 1",0.069,"9",119,14.9,0.001,0,0.141,0.623,0.203,0.01,3,6,248,"100293","200951"
5607000,"5"," 4"," 1",0.042,"3",89.8,13.6,0.001,0,0.134,0.575,0.219,0.01,1,1,433,"100231","200819"
17425000,"5"," 4"," 1",0.056,"3",89.8,13.6,0.019,0,0.134,0.575,0.219,0.01,2,3,433,"100231","200819"
19146000,"5"," 4"," 1",0.069,"3",89.8,13.6,0.0438,0,0.134,0.575,0.219,0.01,3,6,433,"100231","200819"
13058000,"6"," 4"," 1",0.042,"2",79,11.2,0.0968,0,0.126,0.509,0.207,0.009,1,1,468,"100305","200978"
17617000,"6"," 4"," 1",0.063,"2",79,11.2,0.001,0,0.126,0.509,0.207,0.009,2,3,468,"100305","200978"
7240000,"7"," 4"," 1",0.042,"2",59,12.7,0.2143,0.3,0.1,0.367,0.166,0.009,1,1,492,"100613","201872"
6963000,"7"," 4"," 1",0.056,"2",59,12.7,0.0667,0.3,0.1,0.367,0.166,0.009,2,3,492,"100613","201872"
7705000,"7"," 4"," 1",0.069,"2",59,12.7,0.9,0.3,0.1,0.367,0.166,0.009,3,6,492,"100613","201872"
4432000,"7"," 4"," 1",0.042,"2",59,12.7,0.2143,0.3,0.1,0.367,0.166,0.009,1,1,492,"100613","201876"
7017000,"7"," 4"," 1",0.056,"2",59,12.7,0.0667,0.3,0.1,0.367,0.166,0.009,2,3,492,"100613","201876"
7916000,"7"," 4"," 1",0.069,"2",59,12.7,0.9,0.3,0.1,0.367,0.166,0.009,3,6,492,"100613","201876"
16798000,"1"," 4"," 1",0.056,"2",79,14.5,0.9048,0.258,0.167,0.366,0.151,0.009,1,1,456,"100618","201916"
15464000,"1"," 4"," 1",0.069,"2",79,14.5,0.2625,0.258,0.167,0.366,0.151,0.009,2,3,456,"100618","201916"
4660000,"1"," 4"," 1",0.056,"2",79,14.5,0.9048,0.258,0.167,0.366,0.151,0.009,1,1,456,"100618","201919"
3671000,"1"," 4"," 1",0.069,"2",79,14.5,0.2625,0.258,0.167,0.366,0.151,0.009,2,3,456,"100618","201919"
28320000,"2"," 4"," 1",0.042,"1",89,15.9,0.001,0,0.144,0.625,0.222,0.013,3,6,1,"100251","200845"
12547000,"2"," 4"," 1",0.042,"1",89,15.9,0.001,0,0.144,0.625,0.222,0.013,3,6,1,"100251","200856"
8961000,"2"," 4"," 1",0.056,"2",39.9,15.9,1.1333,0,0.144,0.625,0.222,0.013,1,1,446,"100779","202276"
15899000,"2"," 4"," 1",0.069,"2",39.9,15.9,1.7,0,0.144,0.625,0.222,0.013,2,3,446,"100779","202276"
4579000,"3"," 4"," 1",0.042,"1",69.9,17.7,0.001,0.736,0.125,0.507,0.212,0.011,1,1,1,"100251","200848"
7447000,"3"," 4"," 1",0.056,"1",69.9,17.7,0.001,0.736,0.125,0.507,0.212,0.011,2,3,1,"100251","200848"
9586000,"3"," 4"," 1",0.069,"1",69.9,17.7,0.001,0.736,0.125,0.507,0.212,0.011,3,6,1,"100251","200848"
1726000,"3"," 4"," 1",0.042,"1",69.9,17.7,0.001,0.736,0.125,0.507,0.212,0.011,1,1,1,"100251","200859"
5277000,"3"," 4"," 1",0.056,"1",69.9,17.7,0.001,0.736,0.125,0.507,0.212,0.011,2,3,1,"100251","200859"
6930000,"3"," 4"," 1",0.069,"1",69.9,17.7,0.001,0.736,0.125,0.507,0.212,0.011,3,6,1,"100251","200859"
50000,"4"," 4"," 1",0.042,"11",189,17.2,0.2095,6.26,0.109,0.398,0.201,0.008,1,1,445,"100503","201522"
1083000,"4"," 4"," 1",0.056,"11",189,17.2,0.2762,6.26,0.109,0.398,0.201,0.008,2,3,445,"100503","201522"
567000,"4"," 4"," 1",0.069,"11",189,17.2,0.001,6.26,0.109,0.398,0.201,0.008,3,6,445,"100503","201522"
50000,"4"," 4"," 1",0.042,"11",239,17.2,0.2095,6.26,0.109,0.398,0.201,0.008,1,1,445,"100503","201523"
707000,"4"," 4"," 1",0.056,"11",239,17.2,0.2762,6.26,0.109,0.398,0.201,0.008,2,3,445,"100503","201523"
1978000,"4"," 4"," 1",0.069,"11",239,17.2,0.001,6.26,0.109,0.398,0.201,0.008,3,6,445,"100503","201523"
511000,"4"," 4"," 1",0.042,"11",169,17.2,0.2095,6.26,0.109,0.398,0.201,0.008,1,1,445,"100503","201524"
971000,"4"," 4"," 1",0.056,"11",169,17.2,0.2762,6.26,0.109,0.398,0.201,0.008,2,3,445,"100503","201524"
971000,"4"," 4"," 1",0.069,"11",169,17.2,0.001,6.26,0.109,0.398,0.201,0.008,3,6,445,"100503","201524"
50000,"4"," 4"," 1",0.042,"11",219,17.2,0.2095,6.26,0.109,0.398,0.201,0.008,1,1,445,"100503","201525"
663000,"4"," 4"," 1",0.056,"11",219,17.2,0.2762,6.26,0.109,0.398,0.201,0.008,2,3,445,"100503","201525"
1251000,"4"," 4"," 1",0.069,"11",219,17.2,0.001,6.26,0.109,0.398,0.201,0.008,3,6,445,"100503","201525"
50000,"4"," 4"," 1",0.042,"11",179,17.2,0.2095,6.26,0.109,0.398,0.201,0.008,1,1,445,"100503","201539"
2982000,"4"," 4"," 1",0.056,"11",179,17.2,0.2762,6.26,0.109,0.398,0.201,0.008,2,3,445,"100503","201539"
2017000,"4"," 4"," 1",0.069,"11",179,17.2,0.001,6.26,0.109,0.398,0.201,0.008,3,6,445,"100503","201539"
679000,"4"," 4"," 1",0.042,"11",229,17.2,0.2095,6.26,0.109,0.398,0.201,0.008,1,1,445,"100503","201540"
1869000,"4"," 4"," 1",0.056,"11",229,17.2,0.2762,6.26,0.109,0.398,0.201,0.008,2,3,445,"100503","201540"
679000,"4"," 4"," 1",0.069,"11",229,17.2,0.001,6.26,0.109,0.398,0.201,0.008,3,6,445,"100503","201540"
1780000,"4"," 4"," 1",0.042,"11",159,17.2,0.2095,6.26,0.109,0.398,0.201,0.008,1,1,445,"100503","201541"
1780000,"4"," 4"," 1",0.056,"11",159,17.2,0.2762,6.26,0.109,0.398,0.201,0.008,2,3,445,"100503","201541"
1780000,"4"," 4"," 1",0.069,"11",159,17.2,0.001,6.26,0.109,0.398,0.201,0.008,3,6,445,"100503","201541"
50000,"4"," 4"," 1",0.042,"11",209,17.2,0.2095,6.26,0.109,0.398,0.201,0.008,1,1,445,"100503","201542"
1195000,"4"," 4"," 1",0.056,"11",209,17.2,0.2762,6.26,0.109,0.398,0.201,0.008,2,3,445,"100503","201542"
1713000,"4"," 4"," 1",0.069,"11",209,17.2,0.001,6.26,0.109,0.398,0.201,0.008,3,6,445,"100503","201542"
9072000,"5"," 4"," 1",0.042,"3",89.8,11.2,0.001,8.23,0.106,0.352,0.197,0.01,1,1,433,"100231","200819"
13601000,"5"," 4"," 1",0.056,"3",89.8,11.2,0.001,8.23,0.106,0.352,0.197,0.01,2,3,433,"100231","200819"
17744000,"5"," 4"," 1",0.069,"3",89.8,11.2,0.05,8.23,0.106,0.352,0.197,0.01,3,6,433,"100231","200819"
2385000,"6"," 4"," 1",0.042,"1",69,7.7,0.001,12.521,0.109,0.292,0.187,0.009,1,1,423,"100346","201075"
5835000,"6"," 4"," 1",0.056,"1",69,7.7,0.001,12.521,0.109,0.292,0.187,0.009,2,3,423,"100346","201075"
3940000,"6"," 4"," 1",0.069,"1",69,7.7,0.001,12.521,0.109,0.292,0.187,0.009,3,6,423,"100346","201075"
8169000,"6"," 4"," 1",0.042,"1",69,7.7,0.001,12.521,0.109,0.292,0.187,0.009,1,1,423,"100346","201082"
9294000,"6"," 4"," 1",0.056,"1",69,7.7,0.001,12.521,0.109,0.292,0.187,0.009,2,3,423,"100346","201082"
11112000,"6"," 4"," 1",0.069,"1",69,7.7,0.001,12.521,0.109,0.292,0.187,0.009,3,6,423,"100346","201082"
7759000,"7"," 4"," 1",0.042,"9",139,10.4,0.001,0.7,0.083,0.203,0.152,0.005,1,1,368,"100218","200768"
26785000,"7"," 4"," 1",0.056,"9",139,10.4,0.001,0.7,0.083,0.203,0.152,0.005,2,3,368,"100218","200768"
15722000,"7"," 4"," 1",0.069,"9",139,10.4,0.001,0.7,0.083,0.203,0.152,0.005,3,6,368,"100218","200768"
28542000,"1"," 4"," 1",0.056,"4",32.9,11.8,0.001,0.069,0.105,0.358,0.153,0.004,1,1,421,"100841","202484"
36299000,"1"," 4"," 1",0.069,"4",32.9,11.8,0.001,0.069,0.105,0.358,0.153,0.004,2,3,421,"100841","202484"
7915000,"2"," 4"," 1",0.056,"2",79,11.4,0.001,1.2,0.173,0.635,0.223,0.009,1,1,456,"100618","201916"
7296000,"2"," 4"," 1",0.069,"2",79,11.4,0.001,1.2,0.173,0.635,0.223,0.009,2,3,456,"100618","201916"
1692000,"2"," 4"," 1",0.056,"2",79,11.4,0.001,1.2,0.173,0.635,0.223,0.009,1,1,456,"100618","201919"
3022000,"2"," 4"," 1",0.069,"2",79,11.4,0.001,1.2,0.173,0.635,0.223,0.009,2,3,456,"100618","201919"
6880000,"3"," 4"," 1",0.042,"2",79,13.7,0.2476,0.1,0.15,0.487,0.206,0.008,1,1,456,"100598","201913"
14232000,"3"," 4"," 1",0.056,"2",79,13.7,0.001,0.1,0.15,0.487,0.206,0.008,2,3,456,"100598","201913"
12228000,"3"," 4"," 1",0.069,"2",79,13.7,0.001,0.1,0.15,0.487,0.206,0.008,3,6,456,"100598","201913"
12176000,"4"," 5"," 1",0.042,"1",29.8,14.9,0.001,0,0.138,0.267,0.176,0.006,1,1,304,"100569","201669"
14438000,"4"," 5"," 1",0.056,"1",29.8,14.9,0.001,0,0.138,0.267,0.176,0.006,2,3,304,"100569","201669"
12886000,"4"," 5"," 1",0.069,"1",29.8,14.9,0.001,0,0.138,0.267,0.176,0.006,3,6,304,"100569","201669"
16511000,"5"," 5"," 1",0.042,"2",49.9,16,0.001,0,0.148,0.308,0.208,0.007,1,1,385,"100348","201090"
20804000,"5"," 5"," 1",0.056,"2",49.9,16,0.1048,0,0.148,0.308,0.208,0.007,2,3,385,"100348","201090"
19181000,"5"," 5"," 1",0.069,"2",49.9,16,0.0154,0,0.148,0.308,0.208,0.007,3,6,385,"100348","201090"
4244000,"6"," 5"," 1",0.042,"3",239,15.7,0.0258,0,0.134,0.25,0.184,0.007,1,1,150,"100210","200748"
12585000,"6"," 5"," 1",0.063,"3",239,15.7,0.1913,0,0.134,0.25,0.184,0.007,2,3,150,"100210","200748"
4050000,"6"," 5"," 1",0.042,"3",229,15.7,0.0258,0,0.134,0.25,0.184,0.007,1,1,150,"100210","200753"
7266000,"6"," 5"," 1",0.063,"3",229,15.7,0.1913,0,0.134,0.25,0.184,0.007,2,3,150,"100210","200753"
27271000,"7"," 5"," 1",0.042,"2",89,16.6,0.001,0,0.099,0.198,0.153,0.004,1,1,468,"100305","200989"
24475000,"7"," 5"," 1",0.063,"2",89,16.6,0.001,0,0.099,0.198,0.153,0.004,2,3,468,"100305","200989"
14563000,"1"," 5"," 1",0.056,"4",69.9,18.2,0.001,0,0.112,0.157,0.132,0.004,1,1,430,"100832","202448"
16350000,"1"," 5"," 1",0.069,"4",69.9,18.2,0.001,0,0.112,0.157,0.132,0.004,2,3,430,"100832","202448"
20917000,"2"," 5"," 1",0.042,"2",69,12.5,0.001,0.518,0.135,0.183,0.187,0.007,3,6,492,"100611","201866"
6187000,"2"," 5"," 1",0.042,"2",69,12.5,0.001,0.518,0.135,0.183,0.187,0.007,3,6,492,"100611","201893"
2675000,"2"," 5"," 1",0.056,"5",59.8,12.5,0.219,0.518,0.135,0.183,0.187,0.007,1,1,240,"100775","202264"
4492000,"2"," 5"," 1",0.069,"5",59.8,12.5,0.001,0.518,0.135,0.183,0.187,0.007,2,3,240,"100775","202264"
7917000,"2"," 5"," 1",0.056,"5",59.8,12.5,0.219,0.518,0.135,0.183,0.187,0.007,1,1,240,"100775","202265"
9457000,"2"," 5"," 1",0.069,"5",59.8,12.5,0.001,0.518,0.135,0.183,0.187,0.007,2,3,240,"100775","202265"
3919000,"4"," 5"," 1",0.042,"11",79.9,16.4,0.0381,0,0.169,0.209,0.24,0.009,1,1,489,"100140","200375"
3940000,"4"," 5"," 1",0.056,"11",79.9,16.4,0.0238,0,0.169,0.209,0.24,0.009,2,3,489,"100140","200375"
1407000,"4"," 5"," 1",0.069,"11",79.9,16.4,0.15,0,0.169,0.209,0.24,0.009,3,6,489,"100140","200375"
2690000,"4"," 5"," 1",0.042,"11",69.9,16.4,0.0381,0,0.169,0.209,0.24,0.009,1,1,489,"100140","200376"
4401000,"4"," 5"," 1",0.056,"11",69.9,16.4,0.0238,0,0.169,0.209,0.24,0.009,2,3,489,"100140","200376"
1953000,"4"," 5"," 1",0.069,"11",69.9,16.4,0.15,0,0.169,0.209,0.24,0.009,3,6,489,"100140","200376"
3973000,"4"," 5"," 1",0.042,"11",59.9,16.4,0.0381,0,0.169,0.209,0.24,0.009,1,1,489,"100140","200377"
2926000,"4"," 5"," 1",0.056,"11",59.9,16.4,0.0238,0,0.169,0.209,0.24,0.009,2,3,489,"100140","200377"
2943000,"4"," 5"," 1",0.069,"11",59.9,16.4,0.15,0,0.169,0.209,0.24,0.009,3,6,489,"100140","200377"
6550000,"5"," 5"," 1",0.042,"2",79,17.4,0.2333,0,0.148,0.175,0.225,0.007,1,1,456,"100598","201913"
10262000,"5"," 5"," 1",0.056,"2",79,17.4,0.2,0,0.148,0.175,0.225,0.007,2,3,456,"100598","201913"
9734000,"5"," 5"," 1",0.069,"2",79,17.4,0.001,0,0.148,0.175,0.225,0.007,3,6,456,"100598","201913"
6202000,"6"," 5"," 1",0.042,"8",99,17.3,0.5524,0,0.139,0.16,0.206,0.008,1,1,300,"100220","200770"
22106000,"6"," 5"," 1",0.056,"8",99,17.3,0.1714,0,0.139,0.16,0.206,0.008,2,3,300,"100220","200770"
19273000,"6"," 5"," 1",0.069,"8",99,17.3,0.001,0,0.139,0.16,0.206,0.008,3,6,300,"100220","200770"
18346000,"7"," 5"," 1",0.042,"2",109,17.9,0.001,0,0.136,0.116,0.169,0.007,1,1,468,"100305","200985"
22171000,"7"," 5"," 1",0.063,"2",109,17.9,0.4167,0,0.136,0.116,0.169,0.007,2,3,468,"100305","200985"
10711000,"1"," 5"," 1",0.056,"9",49,17.2,0.001,1.5,0.139,0.121,0.155,0.006,1,1,450,"100600","201843"
22456000,"1"," 5"," 1",0.069,"9",49,17.2,0.0714,1.5,0.139,0.121,0.155,0.006,2,3,450,"100600","201843"
5492000,"2"," 5"," 1",0.056,"2",39.9,16.4,0.001,0.588,0.169,0.181,0.237,0.008,1,1,470,"100281","201009"
8991000,"2"," 5"," 1",0.063,"2",39.9,16.4,0.001,0.588,0.169,0.181,0.237,0.008,2,3,470,"100281","201009"
6777000,"2"," 5"," 1",0.069,"2",39.9,16.4,0.001,0.588,0.169,0.181,0.237,0.008,3,6,470,"100281","201009"
3945000,"2"," 5"," 1",0.076,"2",39.9,16.4,0.001,0.588,0.169,0.181,0.237,0.008,4,4,470,"100281","201009"
841000,"3"," 5"," 1",0.042,"5",59.8,17.7,0.001,0,0.15,0.157,0.224,0.009,1,1,240,"100775","202264"
5543000,"3"," 5"," 1",0.056,"5",59.8,17.7,0.001,0,0.15,0.157,0.224,0.009,2,3,240,"100775","202264"
2946000,"3"," 5"," 1",0.069,"5",59.8,17.7,0.001,0,0.15,0.157,0.224,0.009,3,6,240,"100775","202264"
7362000,"3"," 5"," 1",0.042,"5",59.8,17.7,0.001,0,0.15,0.157,0.224,0.009,1,1,240,"100775","202265"
10084000,"3"," 5"," 1",0.056,"5",59.8,17.7,0.001,0,0.15,0.157,0.224,0.009,2,3,240,"100775","202265"
6309000,"3"," 5"," 1",0.069,"5",59.8,17.7,0.001,0,0.15,0.157,0.224,0.009,3,6,240,"100775","202265"
2301000,"4"," 5"," 1",0.042,"1",59.9,18,0.2381,0,0.153,0.141,0.217,0.006,1,1,423,"100346","201071"
4292000,"4"," 5"," 1",0.056,"1",59.9,18,1.4,0,0.153,0.141,0.217,0.006,2,3,423,"100346","201071"
2870000,"4"," 5"," 1",0.069,"1",59.9,18,1.4,0,0.153,0.141,0.217,0.006,3,6,423,"100346","201071"
2892000,"4"," 5"," 1",0.042,"1",59.9,18,0.2381,0,0.153,0.141,0.217,0.006,1,1,423,"100346","201078"
4732000,"4"," 5"," 1",0.056,"1",59.9,18,1.4,0,0.153,0.141,0.217,0.006,2,3,423,"100346","201078"
5477000,"4"," 5"," 1",0.069,"1",59.9,18,1.4,0,0.153,0.141,0.217,0.006,3,6,423,"100346","201078"
10559000,"5"," 5"," 1",0.042,"2",69.9,20.1,0.001,0,0.145,0.131,0.217,0.006,1,1,392,"100664","202001"
14945000,"5"," 5"," 1",0.056,"2",69.9,20.1,0.001,0,0.145,0.131,0.217,0.006,2,3,392,"100664","202001"
15504000,"5"," 5"," 1",0.069,"2",69.9,20.1,0.001,0,0.145,0.131,0.217,0.006,3,6,392,"100664","202001"
9965000,"7"," 5"," 1",0.042,"2",69,20.2,0.001,1.477,0.115,0.081,0.159,0.006,1,1,492,"100611","201866"
13649000,"7"," 5"," 1",0.056,"2",69,20.2,0.0571,1.477,0.115,0.081,0.159,0.006,2,3,492,"100611","201866"
10894000,"7"," 5"," 1",0.069,"2",69,20.2,0.001,1.477,0.115,0.081,0.159,0.006,3,6,492,"100611","201866"
4214000,"7"," 5"," 1",0.042,"2",69,20.2,0.001,1.477,0.115,0.081,0.159,0.006,1,1,492,"100611","201893"
2583000,"7"," 5"," 1",0.056,"2",69,20.2,0.0571,1.477,0.115,0.081,0.159,0.006,2,3,492,"100611","201893"
282000,"7"," 5"," 1",0.069,"2",69,20.2,0.001,1.477,0.115,0.081,0.159,0.006,3,6,492,"100611","201893"
19837000,"1"," 5"," 1",0.056,"4",32.9,18.9,0.5952,8.775,0.123,0.081,0.149,0.008,1,1,421,"100841","202484"
19265000,"1"," 5"," 1",0.069,"4",32.9,18.9,0.3429,8.775,0.123,0.081,0.149,0.008,2,3,421,"100841","202484"
8180000,"2"," 5"," 1",0.056,"9",49.9,16.8,1.4,3.5,0.151,0.115,0.23,0.009,1,1,353,"100185","201963"
13994000,"2"," 5"," 1",0.069,"9",49.9,16.8,1.4,3.5,0.151,0.115,0.23,0.009,2,3,353,"100185","201963"
21187000,"2"," 5"," 1",0.042,"1",39.8,16.8,1.2667,3.5,0.151,0.115,0.23,0.009,3,6,364,"100713","202083"
4204000,"3"," 5"," 1",0.042,"7",49.9,17.2,0.8,0,0.135,0.105,0.205,0.012,1,1,299,"100634","201944"
13577000,"3"," 5"," 1",0.049,"7",49.9,17.2,1.2727,0,0.135,0.105,0.205,0.012,2,3,299,"100634","201944"
10889000,"3"," 5"," 1",0.056,"7",49.9,17.2,0.4364,0,0.135,0.105,0.205,0.012,3,6,299,"100634","201944"
9951000,"3"," 5"," 1",0.063,"7",49.9,17.2,0.1455,0,0.135,0.105,0.205,0.012,4,4,299,"100634","201944"
6413000,"3"," 5"," 1",0.069,"7",49.9,17.2,0.001,0,0.135,0.105,0.205,0.012,5,2,299,"100634","201944"
6376000,"3"," 5"," 1",0.076,"7",49.9,17.2,0.001,0,0.135,0.105,0.205,0.012,6,5,299,"100634","201944"
16897000,"4"," 5"," 1",0.042,"2",109,19.4,0.001,0,0.142,0.102,0.208,0.01,1,1,468,"100305","200985"
14595000,"4"," 5"," 1",0.063,"2",109,19.4,0.125,0,0.142,0.102,0.208,0.01,2,3,468,"100305","200985"
1515000,"5"," 5"," 1",0.042,"3",139,20.6,0.001,0,0.141,0.098,0.202,0.006,1,1,65,"100326","201028"
4460000,"5"," 5"," 1",0.063,"3",139,20.6,0.001,0,0.141,0.098,0.202,0.006,2,3,65,"100326","201028"
4150000,"5"," 5"," 1",0.042,"3",129,20.6,0.001,0,0.141,0.098,0.202,0.006,1,1,65,"100326","201029"
5017000,"5"," 5"," 1",0.063,"3",129,20.6,0.001,0,0.141,0.098,0.202,0.006,2,3,65,"100326","201029"
4906000,"6"," 5"," 1",0.042,"2",49.9,22.8,1.2,0,0.129,0.082,0.189,0.009,1,1,279,"100279","200905"
5154000,"6"," 5"," 1",0.056,"2",49.9,22.8,0.2667,0,0.129,0.082,0.189,0.009,2,3,279,"100279","200905"
7257000,"6"," 5"," 1",0.069,"2",49.9,22.8,0.1714,0,0.129,0.082,0.189,0.009,3,6,279,"100279","200905"
3940000,"6"," 5"," 1",0.042,"2",49.9,22.8,1.2,0,0.129,0.082,0.189,0.009,1,1,279,"100279","200906"
6490000,"6"," 5"," 1",0.056,"2",49.9,22.8,0.2667,0,0.129,0.082,0.189,0.009,2,3,279,"100279","200906"
8238000,"6"," 5"," 1",0.069,"2",49.9,22.8,0.1714,0,0.129,0.082,0.189,0.009,3,6,279,"100279","200906"
5713000,"7"," 5"," 1",0.042,"1",79,23.3,0.1952,0,0.107,0.065,0.151,0.007,1,1,437,"100374","201372"
6288000,"7"," 5"," 1",0.056,"1",79,23.3,2.4714,0,0.107,0.065,0.151,0.007,2,3,437,"100374","201372"
5737000,"7"," 5"," 1",0.069,"1",79,23.3,2.9214,0,0.107,0.065,0.151,0.007,3,6,437,"100374","201372"
3986000,"7"," 5"," 1",0.042,"1",79,23.3,0.1952,0,0.107,0.065,0.151,0.007,1,1,437,"100374","201374"
9943000,"7"," 5"," 1",0.056,"1",79,23.3,2.4714,0,0.107,0.065,0.151,0.007,2,3,437,"100374","201374"
8807000,"7"," 5"," 1",0.069,"1",79,23.3,2.9214,0,0.107,0.065,0.151,0.007,3,6,437,"100374","201374"
25443000,"1"," 5"," 1",0.042,"2",59.9,23.4,0.4333,0.4,0.144,0.069,0.144,0.008,3,6,454,"100192","200660"
14889000,"1"," 5"," 1",0.056,"4",40.9,23.4,0.0667,0.4,0.144,0.069,0.144,0.008,1,1,367,"100702","202074"
16742000,"1"," 5"," 1",0.069,"4",40.9,23.4,0.15,0.4,0.144,0.069,0.144,0.008,2,3,367,"100702","202074"
10011000,"2"," 5"," 1",0.042,"2",69,18.2,3.0048,7.175,0.156,0.098,0.221,0.01,1,1,456,"100618","201915"
17713000,"2"," 5"," 1",0.056,"2",69,18.2,0.0905,7.175,0.156,0.098,0.221,0.01,2,3,456,"100618","201915"
15134000,"2"," 5"," 1",0.069,"2",69,18.2,0.1,7.175,0.156,0.098,0.221,0.01,3,6,456,"100618","201915"
4324000,"2"," 5"," 1",0.042,"2",69,18.2,3.0048,7.175,0.156,0.098,0.221,0.01,1,1,456,"100618","201918"
4652000,"2"," 5"," 1",0.056,"2",69,18.2,0.0905,7.175,0.156,0.098,0.221,0.01,2,3,456,"100618","201918"
3776000,"2"," 5"," 1",0.069,"2",69,18.2,0.1,7.175,0.156,0.098,0.221,0.01,3,6,456,"100618","201918"
3913000,"3"," 5"," 1",0.042,"9",79,18,0.3238,0,0.138,0.086,0.216,0.011,1,1,451,"100742","202174"
8551000,"3"," 5"," 1",0.056,"9",79,18,0.001,0,0.138,0.086,0.216,0.011,2,3,451,"100742","202174"
7513000,"3"," 5"," 1",0.069,"9",79,18,0.001,0,0.138,0.086,0.216,0.011,3,6,451,"100742","202174"
1759000,"3"," 5"," 1",0.042,"9",99,18,0.3238,0,0.138,0.086,0.216,0.011,1,1,451,"100742","202177"
6004000,"3"," 5"," 1",0.056,"9",99,18,0.001,0,0.138,0.086,0.216,0.011,2,3,451,"100742","202177"
11975000,"3"," 5"," 1",0.069,"9",99,18,0.001,0,0.138,0.086,0.216,0.011,3,6,451,"100742","202177"
8207000,"4"," 5"," 1",0.042,"1",49,18.9,0.001,0,0.146,0.081,0.206,0.008,1,1,364,"100715","202090"
21662000,"4"," 5"," 1",0.056,"1",49,18.9,0.001,0,0.146,0.081,0.206,0.008,2,3,364,"100715","202090"
14985000,"4"," 5"," 1",0.069,"1",49,18.9,0.001,0,0.146,0.081,0.206,0.008,3,6,364,"100715","202090"
6408000,"5"," 5"," 1",0.042,"5",39.9,20,0.001,0.042,0.143,0.074,0.188,0.009,1,1,346,"100213","200757"
13078000,"5"," 5"," 1",0.056,"5",39.9,20,0.001,0.042,0.143,0.074,0.188,0.009,2,3,346,"100213","200757"
10031000,"5"," 5"," 1",0.069,"5",39.9,20,0.8643,0.042,0.143,0.074,0.188,0.009,3,6,346,"100213","200757"
9063000,"6"," 5"," 1",0.042,"2",89,18.9,0.0571,0.14,0.143,0.064,0.185,0.008,1,1,492,"100599","201891"
15731000,"6"," 5"," 1",0.056,"2",89,18.9,0.001,0.14,0.143,0.064,0.185,0.008,2,3,492,"100599","201891"
19813000,"6"," 5"," 1",0.069,"2",89,18.9,0.001,0.14,0.143,0.064,0.185,0.008,3,6,492,"100599","201891"
4497000,"7"," 6"," 1",0.042,"1",39.9,18.8,2.8857,0,0.131,0.047,0.141,0.007,1,1,193,"100380","201243"
10164000,"7"," 6"," 1",0.056,"1",39.9,18.8,0.3143,0,0.131,0.047,0.141,0.007,2,3,193,"100380","201243"
7010000,"7"," 6"," 1",0.069,"1",39.9,18.8,0.1357,0,0.131,0.047,0.141,0.007,3,6,193,"100380","201243"
2968000,"7"," 6"," 1",0.042,"1",39.9,18.8,2.8857,0,0.131,0.047,0.141,0.007,1,1,193,"100380","201245"
6025000,"7"," 6"," 1",0.056,"1",39.9,18.8,0.3143,0,0.131,0.047,0.141,0.007,2,3,193,"100380","201245"
5620000,"7"," 6"," 1",0.069,"1",39.9,18.8,0.1357,0,0.131,0.047,0.141,0.007,3,6,193,"100380","201245"
7402000,"1"," 6"," 1",0.056,"2",69,19.7,1.8333,0,0.124,0.058,0.145,0.006,1,1,456,"100618","201915"
16001000,"1"," 6"," 1",0.069,"2",69,19.7,1.7,0,0.124,0.058,0.145,0.006,2,3,456,"100618","201915"
